Normalized,Raw,Model,field
CURR:NO_MATCH:Tags added by POP - Ugly,Clean,Mitch's Category,Laura's Category,Model,Field,Basis 
manicules,Manicules,,Type Book Attribute,Unknown,Book Attribute ,
marginalia,Marginalia,,Type Book Attribute,Unknown,Book Attribute ,
markers,Markers,,Type Book Attribute,Unknown,Book Attribute ,
masoniccipher,Masonic cipher,,Type Book Attribute,Unknown,Book Attribute ,
metalcuts,Metal-cuts,,Type Book Attribute,Unknown,Book Attribute ,
miniatures,Miniatures,,Type Book Attribute,Unknown,Book Attribute ,
offsetting,Offsetting,,Type Book Attribute,Unknown,Book Attribute ,
partiallyinked,Partially inked,Physical,Physical,Unknown,Book Attribute ,
pentests,Pen tests,Type,Type Book Attribute,Unknown,Book Attribute ,
penwork,Penwork,Type,Type Book Attribute,Unknown,Book Attribute ,
pigpencipher,Pigpen cipher,,Type Book Attribute,Unknown,Book Attribute ,
prohibitionstatements,Prohibition statements,Type,Type Book Attribute,Unknown,Book Attribute ,
reusedbindings,Re-used bindings,,Type Book Attribute,Unknown,Book Attribute ,
rebuses,Rebuses,,Type Book Attribute,Unknown,Book Attribute ,
remboitage,Remboitage,,Type Book Attribute,Unknown,Book Attribute ,
rubrication,Rubrication,,Type Book Attribute,Unknown,Book Attribute ,
scaleboards,Scaleboards,,Type Book Attribute,Unknown,Book Attribute ,
silverbindings,Silver bindings,,Type Book Attribute,Unknown,Book Attribute ,
spine,Spine,Physical,Physical,Unknown,Book Attribute ,
spines,Spines,Physical,Physical,Unknown,Book Attribute ,
tablature,Tablature,Physical,Physical,Unknown,Book Attribute ,
tacketedbindings,Tacketed bindings,Physical,Physical,Unknown,Book Attribute ,
tackets,Tackets,Physical,Physical,Unknown,Book Attribute ,
tailpieces,Tailpieces,Physical,Physical,Unknown,Book Attribute ,
ties,Ties,Physical,Physical,Unknown,Book Attribute ,
vellum,Vellum,Physical,Physical,Unknown,Book Attribute ,
volvelles,Volvelles,Type,Type Book Attribute,Unknown,Book Attribute ,
watermarks,Watermarks,,Type Book Attribute,Unknown,Book Attribute ,
waxseals,Wax seals,Physical,Physical,Unknown,Book Attribute ,
woodcutborders,Woodcut borders,Type,Type Book Attribute,Unknown,Book Attribute ,
woodcutinitials,Woodcut initials,Type,Type Book Attribute,Unknown,Book Attribute ,
woodcuts,Woodcuts,Type,Type Book Attribute,Unknown,Book Attribute ,
wooducts,Wooducts,Type,Type Book Attribute,Unknown,Book Attribute ,
wooodcuts,Wooodcuts,Type,Type Book Attribute,Unknown,Book Attribute ,
wormholes,Wormholes,Physical,Physical,Unknown,Book Attribute ,
purplepenworkbreviary,Purple penwork breviary,,,Copy,Book Type,
biblelatinvulgate1497,Bible. Latin. Vulgate. 1497,,,Copy ,Book Type,
biblelatinvulgate1498,Bible. Latin. Vulgate. 1498,,,Copy ,Book Type,
books,Books,,,Copy ,Book Type,
codexcorpusjuriscivilis,Codex (Corpus juris civilis),,,Copy ,Book Type,
confessionale,Confessionale,,,Copy ,Book Type,
bibles,Bibles,Type,Type Book,Copy ,Book Type ,
booksofhours,Books of Hours,Type,Type Book,Copy ,Book Type ,
breviaries,Breviaries,Type,Type Book,Copy ,Book Type ,
broadsides,Broadsides,Type,Type Book,Copy ,Book Type ,
censoredbooks,Censored books,Type,Type Book,Copy ,Book Type ,
censorededitions,Censored editions,Type,Type Book,Copy ,Book Type ,
decretalesgregoriiix,Decretales Gregorii IX,,Type Book,Copy ,Book Type ,
decretals,Decretals,,Type Book,Copy ,Book Type ,
decretumgratiani,Decretum Gratiani,,Type Book,Copy ,Book Type ,
dutchbroadsides,Dutch Broadsides,,Type Book,Copy ,Book Type ,
dutchsatiricalbroadsides,Dutch Satirical Broadsides,,Type Book,Copy ,Book Type ,
expurgatededitions,Expurgated editions,Type,Type Book,Copy ,Book Type ,
girdlebooks,Girdle books,,Type Book,Copy ,Book Type ,
glossaordinaria,Glossa ordinaria,,Type Book,Copy ,Book Type ,
graduals,Graduals,,Type Book,Copy ,Book Type ,
illuminatedmanuscripts,Illuminated manuscripts,Type,Type Book,Copy ,Book Type ,
CURR:NO_MATCH:incunable,Incunable,Type,Type Book,Copy ,Book Type ,
incunables,Incunables,Type,Type Book,Copy ,Book Type ,
incunabula,Incunabula,Type,Type Book,Copy ,Book Type ,
indulgences,Indulgences,Type,Type Book,Copy ,Book Type ,
institutiones,Institutiones,,Type Book,Copy ,Book Type ,
liberchronicarum,Liber chronicarum,,Type Book,Copy ,Book Type ,
manuscriptmusic,Manuscript music,Type,Type Book,Copy ,Book Type ,
manuscripts,Manuscripts,Type,Type Book,Copy ,Book Type ,
maps,Maps,Type,Type Book,Copy ,Book Type ,
photographs,Photographs,,Type Book,Copy ,Book Type ,
prohibitedbooks,Prohibited books,Type,Type Book,Copy ,Book Type ,
anagrambookplates,Anagram bookplates,Type,Type Provenance,Evidence,Bookplate/Label,
binderslabels,Binders' labels,Type,Type Provenance,Evidence,Bookplate/Label,
bookplates,Bookplates,Type,Type Provenance,Evidence,Bookplate/Label,
booksellerslabels,Booksellers' labels,Type,Type Provenance,Evidence,Bookplate/Label,
booksellerstickets,Booksellers' tickets,Type,Type Provenance,Evidence,Bookplate/Label,
booksellerslabels,booksellerslabels,,,Evidence,Bookplate/Label,
capuchinbookplates,Capuchin bookplates,Type,Type Provenance,Evidence,Bookplate/Label,
carmelitebookplates,Carmelite bookplates,Type,Type Provenance,Evidence,Bookplate/Label,
franciscanbookplates,Franciscan bookplates,,Type Provenance,Evidence,Bookplate/Label,
franciscanlabels,Franciscan labels,,Type Provenance,Evidence,Bookplate/Label,
jesuitbookplates,Jesuit bookplates,,Type Provenance,Evidence,Bookplate/Label,
labels,Labels,Type,Type Provenance ,Evidence,Bookplate/Label,
lables,Lables,Type,Type Provenance,Evidence,Bookplate/Label,
augustinianbookplates,Augustinian bookplates,,Type Provenance,Evidence ,Bookplate/Label,
benedictinebookplates,Benedictine bookplates,,Type Provenance,Evidence ,Bookplate/Label,
benedictinelabels,Benedictine labels,,Type Provenance,Evidence ,Bookplate/Label,
booksellerslabel,Bookseller's label,Type,Type Provenance,Evidence ,Bookplate/Label,
premonstratensianbookplates,Premonstratensian bookplates,,Type Provenance,Evidence ,Bookplate/Label,
binderstickets,Binders' tickets,Type,Type Provenance,Evidence ,Bookplate/Label ,
armorialbookplates,Armorial bookplates,Type,Type Provenance,Evidence,Bookplate/Label and Heraldic,
armoriallabels,Armorial labels,Type,Type Provenance,Evidence,Bookplate/Label and Heraldic,
CURR:NO_MATCH:Shelf marklabelwithblueborder,Shelf mark label with blue border,,Type Provenance,Evidence,Bookplate/Label and Shelf mark,
CURR:NO_MATCH:Shelf marklabels,Shelf mark labels,,Type Provenance,Evidence,Bookplate/Label and Shelf mark,
652mau45folio,652M Au45 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
652mc788,652M C788,Call Number,Call Number,Copy,Call Number,Secondary 
652mm477,652M M477,Call Number,Call Number,Copy,Call Number,Secondary 
652mp8324folio,652M P832.4 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
652mt735,652M T735,Call Number,Call Number,Copy,Call Number,Secondary 
652my23,652M Y23,Call Number,Call Number,Copy,Call Number,Secondary 
ac6a100683n1900,AC6 A100 683n 1900,Call Number,Call Number,Copy,Call Number,Secondary 
ac6p3808669n1694,AC6 P3808 669n 1694,Call Number,Call Number,Copy,Call Number,Secondary 
ac6p3808669n1750,AC6 P3808 669n 1750,Call Number,Call Number,Copy,Call Number,Secondary 
ac6p3808670t,AC6 P3808 670t,Call Number,Call Number,Copy,Call Number,Secondary 
ac6p3808672q,AC6 P3808 672q,Call Number,Call Number,Copy,Call Number,Secondary 
ac6p3808673c1674,AC6 P3808 673c 1674,Call Number,Call Number,Copy,Call Number,Secondary 
ac6p3808694be,AC6 P3808 694be,Call Number,Call Number,Copy,Call Number,Secondary 
ac6p3808698d,AC6 P3808 698d,Call Number,Call Number,Copy,Call Number,Secondary 
ac6p3808771s1782,AC6 P3808 771s 1782,Call Number,Call Number,Copy,Call Number,Secondary 
ac6p3808b688l,AC6 P3808 B688l,Call Number,Call Number,Copy,Call Number,Secondary 
ac6st324861m,AC6 St324 861m,Call Number,Call Number,Copy,Call Number,Secondary 
ac6w7375790h1825,AC6 W7375 790h 1825,Call Number,Call Number,Copy,Call Number,Secondary 
ac65l5158687j,AC65 L5158 687j,Call Number,Call Number,Copy,Call Number,Secondary 
ac7a100722c,AC7 A100 722c,Call Number,Call Number,Copy,Call Number,Secondary 
ac7a100731a,AC7 A100 731a,Call Number,Call Number,Copy,Call Number,Secondary 
ac7a100754c,AC7 A100 754c,Call Number,Call Number,Copy,Call Number,Secondary 
ac7a100756c,AC7 A100 756c,Call Number,Call Number,Copy,Call Number,Secondary 
ac7a100774d,AC7 A100 774d,Call Number,Call Number,Copy,Call Number,Secondary 
ac7a100785h,AC7 A100 785h,Call Number,Call Number,Copy,Call Number,Secondary 
ac7a100787s,AC7 A100 787s,Call Number,Call Number,Copy,Call Number,Secondary 
ac7a100788e,AC7 A100 788e,Call Number,Call Number,Copy,Call Number,Secondary 
ac7ad174784a,AC7 Ad174 784a,Call Number,Call Number,Copy,Call Number,Secondary 
ac7ad185786t,AC7 Ad185 786t,Call Number,Call Number,Copy,Call Number,Secondary 
ac7ad185787db,AC7 Ad185 787db,Call Number,Call Number,Copy,Call Number,Secondary 
ac7ap552741e,AC7 Ap552 741e,Call Number,Call Number,Copy,Call Number,Secondary 
ac7b2496787v,AC7 B2496 787v,Call Number,Call Number,Copy,Call Number,Secondary 
ac7b4144750t,AC7 B4144 750t,Call Number,Call Number,Copy,Call Number,Secondary 
ac7b4356774p,AC7 B4356 774p,Call Number,Call Number,Copy,Call Number,Secondary 
ac7b4356780o,AC7 B4356 780o,Call Number,Call Number,Copy,Call Number,Secondary 
ac7b4356782p,AC7 B4356 782p,Call Number,Call Number,Copy,Call Number,Secondary 
ac7b4687765e,AC7 B4687 765e,Call Number,Call Number,Copy,Call Number,Secondary 
ac7b4687765ecopy2,AC7 B4687 765e copy 2,Call Number,Call Number,Copy,Call Number,Secondary 
ac7b5135792c1812,AC7 B5135 792c 1812,Call Number,Call Number,Copy,Call Number,Secondary 
ac7b9177797bc,AC7 B9177 797bc,Call Number,Call Number,Copy,Call Number,Secondary 
ac7b9932745g,AC7 B9932 745g,Call Number,Call Number,Copy,Call Number,Secondary 
ac7b9962zz670c,AC7 B9962 Zz670c,Call Number,Call Number,Copy,Call Number,Secondary 
ac7c2364792r,AC7 C2364 792r,Call Number,Call Number,Copy,Call Number,Secondary 
ac7c2666852r,AC7 C2666 852r,Call Number,Call Number,Copy,Call Number,Secondary 
ac7c3515c749c,AC7 C3515 C749c,Call Number,Call Number,Copy,Call Number,Secondary 
ac7c3533776p,AC7 C3533 776p,Call Number,Call Number,Copy,Call Number,Secondary 
ac7c3533776pc,AC7 C3533 776pc,Call Number,Call Number,Copy,Call Number,Secondary 
ac7c4118741d,AC7 C4118 741d,Call Number,Call Number,Copy,Call Number,Secondary 
ac7c7102727p,AC7 C7102 727p,Call Number,Call Number,Copy,Call Number,Secondary 
ac7d2832789q,AC7 D2832 789q,Call Number,Call Number,Copy,Call Number,Secondary 
ac7d5608766a,AC7 D5608 766a,Call Number,Call Number,Copy,Call Number,Secondary 
ac7d5608768lg,AC7 D5608 768lg,Call Number,Call Number,Copy,Call Number,Secondary 
ac7d8861765ce,AC7 D8861 765ce,Call Number,Call Number,Copy,Call Number,Secondary 
ac7d9677788t,AC7 D9677 788t,Call Number,Call Number,Copy,Call Number,Secondary 
ac7ed967758g1768,AC7 Ed967 758g 1768,Call Number,Call Number,Copy,Call Number,Secondary 
ac7ed967774h1786,AC7 Ed967 774h 1786,Call Number,Call Number,Copy,Call Number,Secondary 
ac7ev163772p,AC7 Ev163 772p,Call Number,Call Number,Copy,Call Number,Secondary 
ac7f5524789b,AC7 F5524 789b,Call Number,Call Number,Copy,Call Number,Secondary 
ac7f8542751ec,AC7 F8542 751ec,Call Number,Call Number,Copy,Call Number,Secondary 
ac7f8542754s1817,AC7 F8542 754s 1817,Call Number,Call Number,Copy,Call Number,Secondary 
ac7f8542766e,AC7 F8542 766e,Call Number,Call Number,Copy,Call Number,Secondary 
ac7f8542898ccopy2,AC7 F8542 898c copy 2,Call Number,Call Number,Copy,Call Number,Secondary 
ac7f8542a774l,AC7 F8542 A774l,Call Number,Call Number,Copy,Call Number,Secondary 
ac7f8542b779p,AC7 F8542 B779p,Call Number,Call Number,Copy,Call Number,Secondary 
ac7f8542c928p,AC7 F8542 C928p,Call Number,Call Number,Copy,Call Number,Secondary 
ac7f8542eh777qc,AC7 F8542 Eh777qc,Call Number,Call Number,Copy,Call Number,Secondary 
ac7f8542m957y,AC7 F8542 M957y,Call Number,Call Number,Copy,Call Number,Secondary 
ac7f8542w846p,AC7 F8542 W846p,Call Number,Call Number,Copy,Call Number,Secondary 
ac7f8897772a1906,AC7 F8897 772a 1906,Call Number,Call Number,Copy,Call Number,Secondary 
ac7f9176823c,AC7 F9176 823c,Call Number,Call Number,Copy,Call Number,Secondary 
ac7g5432917p,AC7 G5432 917p,Call Number,Call Number,Copy,Call Number,Secondary 
ac7g8235766e,AC7 G8235 766e,Call Number,Call Number,Copy,Call Number,Secondary 
ac7h7777788a,AC7 H7777 788a,Call Number,Call Number,Copy,Call Number,Secondary 
ac7h7777789o,AC7 H7777 789o,Call Number,Call Number,Copy,Call Number,Secondary 
ac7h8835748eb,AC7 H8835 748eb,Call Number,Call Number,Copy,Call Number,Secondary 
ac7h8882786p,AC7 H8882 786p,Call Number,Call Number,Copy,Call Number,Secondary 
ac7h9748773c,AC7 H9748 773c,Call Number,Call Number,Copy,Call Number,Secondary 
ac7j3315771l,AC7 J3315 771l,Call Number,Call Number,Copy,Call Number,Secondary 
ac7j4948791a1817,AC7 J4948 791a 1817,Call Number,Call Number,Copy,Call Number,Secondary 
ac7l8282zz678r,AC7 L8282 Zz678r,Call Number,Call Number,Copy,Call Number,Secondary 
ac7l9505789p,AC7 L9505 789p,Call Number,Call Number,Copy,Call Number,Secondary 
ac7m100778m,AC7 M100 778m,Call Number,Call Number,Copy,Call Number,Secondary 
ac7m2702786s,AC7 M2702 786s,Call Number,Call Number,Copy,Call Number,Secondary 
ac7m3423778tb,AC7 M3423 778tb,Call Number,Call Number,Copy,Call Number,Secondary 
ac7m3423787a,AC7 M3423 787a,Call Number,Call Number,Copy,Call Number,Secondary 
ac7m3824c787c,AC7 M3824c 787c,Call Number,Call Number,Copy,Call Number,Secondary 
ac7m3824m775w,AC7 M3824M 775w,Call Number,Call Number,Copy,Call Number,Secondary 
ac7m4206726e,AC7 M4206 726e,Call Number,Call Number,Copy,Call Number,Secondary 
ac7m8378784g1819,AC7 M8378 784g 1819,Call Number,Call Number,Copy,Call Number,Secondary 
ac7ol408757p,AC7 Ol408 757p,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657776c1791d,AC7 P1657 776c 1791d,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657776c1792,AC7 P1657 776c 1792,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657776c1860,AC7 P1657 776c 1860,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657776c1865,AC7 P1657 776c 1865,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657776cc,AC7 P1657 776cc,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657776ce,AC7 P1657 776ce,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657776ch,AC7 P1657 776ch,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657776cj,AC7 P1657 776cj,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657776cn,AC7 P1657 776cn,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657776cx,AC7 P1657 776cx,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657778a,AC7 P1657 778a,Call Number,Call Number,Copy,Call Number,Secondary 
