Clean,Mitch's Category
"Eder, Georg, 1524-1587",Person
"Eder, Wolfgang, fl. 1578-1596",Person
Edgar Fahs Smith Memorial Collection,
Edges,Physical
Edinburgh (Scotland),Place
Edmundites,
Eduardo d'Ybarra,
"Edward VI, King of England, 1537-1553",Person
Effaced,
"Egenolff, Christian, 1502-1555",
"Egenolff, Christian, 1519-1598",Person
"Egenolff, Paul, d. 1625",
Eger (Hungary),
Egli,
"Eglise du Sacré Coeur (Bastia, France)",Hybrid
Église du Sacré-Coeur,
"Egloffstein, Hans Christoph von und zu",
Egra (Bohemia),Place
"Eichmann, Jodocus, 1420?-1491",
"Eichorn, Gottfried, 1603-1667",Person
"Eichorn, Johann, fl. 1549-1581",
Eichstätt (Ecclesiastical principality),
Eichstätt (Germany),Place
Eisenberg (Germany),Place
"Eisenberg (Thuringia, Germany)",Place
Eisleben (Germany),Place
"Elagabalus, Emperor of Rome, 204-222",
"Elder, Alexander",
"Eleanore, of Scotland, Archduchess, consort of Sigmund, Archduke of Austria, 1433-1480",
Elegiae,
Elements,
"Eleonora, di Toledo, Duchess, consort of Cosimo I, Grand-Duke of Tuscany, 1522-1562",
Elephants,Animal
Elias Imlinus Hailbronnensis,
Eliott family,
Eliott of Stobs,
"Elisabeth Sophie Marie, Herzogin zu Braunschweig-Lüneburg, 1683-1767",
"Elizabeth (Mother of John the Baptist), Saint",
"Elizabeth I, Queen of England, 1533-1603",
"Elizabethan Bookseller (Waukegan, Illinois)",
"Elizondo, Lucas José de, 1681-1736",Person
"Ellenbog, Nikolaus, 1481-1543",
"Ellenborough, Edward Law, Earl of, 1790-1871",Person
"Ellis, Frederick Startridge, 1830-1901",Person
"Ellison, Michael",Person
"Ellsworth, James W.‏ ‎ (James William), ‏  1849-1925",Person
"Ellsworth, James W. (James William), 1849-1925",Person
Ellwangen (Germany),Place
"Elton, Mary Augusta, 1838-1914",
"Elze, Karl, 1821-1889",
"Emauzy (Monastery : Prague, Czechoslovakia)",
Emblems,Type
Embossed stamps,Physical
"Emden (Lower Saxony, Germany)",
"Emerton, R. W.",Person
"Emmanuel Philibert, Duke of Savoy, 1528-1580",Person
"Emser, Hieronymus, 1478-1527",
Endbands,Physical
"Endicott, William Putnam, 1803-1888",Person
Endpapers,Physical
"Endter, Wolfgang, 1593-1659",
Engelhard-Reyher'sche Hofbuchdruckerei,
Enghien (Belgium),Place
English College,
English College of St. Omers,
English Culture Class,
English Culture Class Collection,
Engravings,Type
Envelopes,Physical
EP75 Yo843 750yc 1774,Call Number
Epicharis,
"Epinger, Andreas",
"Episcopius, Nicolaus, 1531-1565",
"Episcopus, Melchior",
"Erasmus, Desiderius, -1536",
"Erasmus, Desiderius, d. 1536",Person
"Erberg, Jozef Kalasanc, 1771-1843",Person
Eredi di Manuzio Aldo,
Eredi di Ottaviano Scoto,
Eremo di Camaldoli. Biblioteca,
Erfurt (Germany),Place
Erhard Oeglins Erben,
Erie (Pa.),
Erinyes (Greek mythology),
Erlach family,
"Erlinger, Georg, 1485-1541",Person
"Ernest Augustus, King of Hanover, 1771-1851",Person
"Ernst August, Duke of Brunswick-Lüneburg, 1845-1923",Person
"Ernstinger, Hans",
Errata slips,Type
Erythraean sibyl,
"Esher, Oliver Sylvain Baliol Brett, Viscount, 1881-1963",Person
"Esher, Reginald Baliol Brett, Viscount, 1852-1930",Person
"Esiodus, frater",
"Ess, Leander van, 1772-1847",Person
"Essars, Raulin d'",Person
Est sancti Nazarii Veronae,
Este family,
"Este, Alessandro d, 1568-1624",
"Este, Alessandro d', 1568-1624",
Esterhazy-Galantha arms,
"Estienne, Henri, 1531-1598",Person
"Estienne, Henry, sieur des Fossez",Person
"Estienne, Robert, 1503?-1559",Person
"Estienne, Robert, 1530-1571",Person
"Ettore, Fabrizio",Person
"Ettorre, Fabrizio",Person
Euclid,
Eugen Graf Braida von Ronsecco,
Eugen Graf Braida von Ronsecco und Cornigliano,
"Eugene IV, Pope, 1383-1447",
Europa (Greek mythology),
"Eusebius, of Caesarea, Bishop of Caesarea, ca. 260-ca. 340",
"Eustace, Guillaume, d. 1538",
"Evangilisti, Stefano",Person
"Evans, Charles",Person
"Evans, Micale",Person
Eve (Biblical figure),
"Everard, Rafe",
Everdon Rectory,
"Evrard, de Béthune",
"Ewing, William",Person
Ex Bibliotheca FF. Cartusianorum Aedis Buxianae,
Ex Bibliotheca Regia Acad. Georgiae Aug.,
Ex Bibliotheca Regia Academ. Georgiae Aug.,
Ex libris Caroli Contini,
Ex libris D. Joannis Baptistae Valeriani de Perusia,
Ex libris Ernst Conrad Stahl,
Ex libris F. Georgij W Jagneri,
Ex libris Francisci de Zuccherinis,
Ex libris Gerhardi Lorenz Monasteriensis 1817,
Ex libris Liechtensteinianis,
Ex libris Parochialis Cambiani,
Ex Musaeo Huthii,
Exeter (England),
Expurgated editions,Type
"Eyb, Albrecht von, 1420-1475",
Eytner Family,
"Eytner, Mathias, 1559-1599",Person
F C,Monogram
F C S B,Monogram
F O,Monogram
F T R,Monogram
F. Casella,Person
F. H. Nestler & Melle,Entity
"Faber, Jakob, fl. 1516-1550",Person
"Faber, Johann, d. 1542",Person
"Faber, Johannes, 1478-1541",Person
"Fabricius, Johannes Bernhard",Person
"Fabritius, Walter, d. 1589",Person
"Faelli, Benedetto, -1523",Person
"Faelli, Benedetto, d. 1523",Person
Faenza (Italy),Place
"Fagiuoli, Giovan Battista, 1660-1742",Person
"Faires, John Wiley, 1813-1901",Person
"Faires, John Wylie, 1813-1901",Person
Fairfax of Cameron,
"Fairfax, Albert Kirby, Baron, 1870-1939",Person
"Falagret, Jean-Baptiste Vacqué de",Person
"Falck, Peter, approximately 1468-1519",Person
"Falconer, James John",Person
Falcons,Animal
Famiglia Morosini del Pestrino,
Familie,
Familienverband Dopheide,
"Fanshawe, Arthur Dalrymple, 1847-1936",Person
"Fanshawe, H. C. (Herbert Charles), 1852-1923",Person
"Fanshawe, Richard, Sir, 1608-1666",Person
"Fantuzzi, Gaetano, 1744-1815",Person
Faravoni,Person
"Farina, Giovanni Battista",Person
"Farmer, C. M.",Person
"Farnese, Alessandro, 1520-1589",Person
"Fassati, Bonifacio",Person
"Fassati, Fassone",Person
"Faustina, Annia Galeria, Empress, consort of Antoninus Pius, Emperor of Rome, 104-140 or 41",Person
"Fazakerley, John, b. 1757",Person
FC A100 475e 1855,Call Number
FC A100 520a,Call Number
FC A100 846m,Call Number
FC A100 Eg903l,Call Number
FC Ab157 W743n,Call Number
FC Ai584 883h Folio,Call Number
FC An254 473d 1610,Call Number
FC B4567.2 1543,Call Number
FC B4567.32 1518,Call Number
FC B4605 509m 1515,Call Number
FC B6617 620h,Call Number
FC C3804 583l,Call Number
FC C3854 C529o,Call Number
FC C4688 488c 1558,Call Number
FC C7354 Ef545s,Call Number
FC C7354 Eg596d 1674 Folio,Call Number
FC C7354 Eg674m,Call Number
FC F8847 530l 1550 Folio,Call Number
FC F9258 Ef640s,Call Number
FC G1234 Eh514d 1530 Folio,Call Number
FC G2393 541a,Call Number
FC G3244 Q842s,Call Number
FC G4128 525t 1547 Folio,Call Number
FC G8616 568h,Call Number
FC G9224 622h,Call Number
FC G9442 534b,Call Number
FC G9444 473v 1507,Call Number
FC G9444 656g 1658,Call Number
FC G9444 Eh826g,Call Number
FC G9444 Ei562h 1610,Call Number
FC G9444 Ei562o,Call Number
FC G9445 475s 1588,Call Number
FC G9447 Eg869p,Call Number
FC G9457 903c,Call Number
FC J1599 492a 1501,Call Number
FC J8226 490e 1508,Call Number
FC L1618 561m 1567,Call Number
FC L3519 En493s 1538,Call Number
FC L5215 503e Folio,Call Number
FC L5215 521c 1523 Folio,Call Number
FC M7598 499c 1572 Folio,Call Number
FC P2415 531m 1839,Call Number
FC P4499 564s,Call Number
FC P9458 C539o Folio,Call Number
FC R3801 534o Folio,Call Number
FC R9313 834c,Call Number
FC T3457 742p,Call Number
FC V2343 558h,Call Number
FC V7435 Ef479v 1531 Folio,Call Number
FC5 A100 500a,Call Number
FC5 A100 508e,Call Number
FC5 A100 520c,Call Number
FC5 A100 521a,Call Number
FC5 B1449 542o,Call Number
FC5 B1493 526a,Call Number
FC5 B2684 549m,Call Number
FC5 B4152 A556a,Call Number
FC5 B6618 524a 1557 Folio,Call Number
FC5 B6618 527a 1539,Call Number
FC5 B6658 533n 1538,Call Number
FC5 B6698 505d 1510,Call Number
FC5 B6699 533l,Call Number
FC5 B6699 T583h,Call Number
FC5 B7568 538o,Call Number
FC5 B7775l 540c,Call Number
FC5 B8596 514d 1522,Call Number
FC5 B8596 522e,Call Number
FC5 B8826 551p,Call Number
FC5 C1397 575e 1576,Call Number
FC5 C1397 En557e 1608,Call Number
FC5 D2678L 508l,Call Number
FC5 D2678L 508l 1619,Call Number
FC5 D7035 539c,Call Number
FC5 D8516 569m 1571,Call Number
FC5 Es865 535d 1536,Call Number
FC5 Es865 553d 1561,Call Number
FC5 Es867 537h,Call Number
FC5 Es867 555c 1567,Call Number
FC5 Es867 555c 1585,Call Number
FC5 F8448c 539g,Call Number
FC5 F8488 537e,Call Number
FC5 F8488 537eb,Call Number
FC5 G1895 C600t,Call Number
FC5 G3363 Ef573g 1577,Call Number
FC5 G9468 548g,Call Number
FC5 H1936 524i,Call Number
FC5 J7662 519c,Call Number
FC5 L3207 559l 1584,Call Number
FC5 L4938 541c,Call Number
FC5 L5657 516o,Call Number
FC5 L8673 563e 1570,Call Number
FC5 L8673 C524o,Call Number
FC5 L9793 Ei558g,Call Number
FC5 M3118 511n,Call Number
FC5 M3379 558h 1560,Call Number
FC5 M5617 548g,Call Number
FC5 M7612 Eg927e,Call Number
FC5 P2653 Eg679hb,Call Number
FC5 P3668 535c 1558,Call Number
FC5 P3668 535r 1537,Call Number
FC5 P4188 555d,Call Number
FC5 P4188 660c 1663,Call Number
FC5 P7568L 547c,Call Number
FC5 R1124 651e,Call Number
FC5 R1124 A532hb,Call Number
FC5 R1124 C659o,Call Number
FC5 R1124 Eg738o,Call Number
FC5 R3998 540d,Call Number
FC5 Sa208 514c 1556,Call Number
FC5 Sa236 574o 1719,Call Number
FC5 Sa324 A542hd,Call Number
FC5 Sa324 A542he,Call Number
FC5 Sa324 A542hf,Call Number
FC5 Sa324 A542hh,Call Number
FC5 Sa355 537h,Call Number
FC5 T1305 565d 1566,Call Number
FC5 T1495 548r 1557,Call Number
FC5 T5118 550t,Call Number
FC5 T5444 518s 1572,Call Number
FC5 T5444 522o 1566,Call Number
FC5 T6445L 544c,Call Number
FC55 A100 560d,Call Number
FC55 A100 562d,Call Number
FC55 A100 563b,Call Number
FC55 A100 573d,Call Number
FC55 A100 575d,Call Number
FC55 A100 578e,Call Number
FC55 A100 589t,Call Number
FC55 A100 593d 1594,Call Number
FC55 A100 593d 1594b,Call Number
FC55 A100 598h,Call Number
FC55 A100 Eh578j,Call Number
FC55 Ar612 Eg679k,Call Number
FC55 Ar615 600i,Call Number
FC55 B1388 577t,Call Number
FC55 B2322 623v 1698,Call Number
FC55 B3843 598d,Call Number
FC55 B4152 Ef561c,Call Number
FC55 B4168 547b,Call Number
FC55 B4178 587e,Call Number
FC55 B4178 587m,Call Number
FC55 B4588 601a,Call Number
FC55 B4614 554d,Call Number
FC55 B4636D 560s,Call Number
FC55 B4693 561c 1859,Call Number
FC55 B6302 Eh558b 1574,Call Number
FC55 B6302 Eu605v,Call Number
FC55 B6327 576r 1583,Call Number
FC55 B7764 564o,Call Number
FC55 B9603 581i 1595,Call Number
FC55 B9603 633o 1660,Call Number
FC55 B9603 633o 1740,Call Number
FC55 C1192 609e,Call Number
FC55 C1432 551a,Call Number
FC55 C1537 556i,Call Number
FC55 C1599 552d,Call Number
FC55 C2649 614d 1615,Call Number
FC55 C5918 555d,Call Number
FC55 C8102 548i 1549,Call Number
FC55 C8134 576r 1631,Call Number
FC55 C8178 586a,Call Number
FC55 C8178 603t 1638,Call Number
FC55 C8368 554a 1588,Call Number
FC55 C8368 Ef555l 1560,Call Number
FC55 C8648 564e 1581,Call Number
FC55 C8967 570p 1588,Call Number
FC55 D3766 589c,Call Number
FC55 D4698 573p 1599,Call Number
FC55 D8512 591h,Call Number
FC55 D8512 Ef579d,Call Number
FC55 D8574 587g,Call Number
FC55 D9338 613t 1619,Call Number
FC55 D9340 573c,Call Number
FC55 D9575 572o,Call Number
FC55 D9576 586i,Call Number
FC55 Es868 566i,Call Number
FC55 Es868 568a,Call Number
FC55 Es868 590p,Call Number
FC55 Es868 Ef575c,Call Number
FC55 F7482 570h,Call Number
FC55 F7482 578p,Call Number
FC55 F8448C 599t,Call Number
FC55 F8448L 572o,Call Number
FC55 F8448L 600c,Call Number
FC55 F8448S 567c,Call Number
FC55 F8448S 595e2,Call Number
FC55 F8714 579r,Call Number
FC55 F9394 581s,Call Number
FC55 G2894 En580s,Call Number
FC55 G8694 568d,Call Number
FC55 H7982 560e 1875,Call Number
FC55 J1567 597a,Call Number
FC55 J2488 593p,Call Number
FC55 L1938 587s,Call Number
FC55 L2698S 583t,Call Number
FC55 L5588 580s 1587,Call Number
FC55 L5628 Ei585c 1592,Call Number
FC55 L5679 563d,Call Number
FC55 L6125 558e,Call Number
FC55 L9748 Eh619l,Call Number
FC55 M3884 577a,Call Number
FC55 M6689 587d 1865,Call Number
FC55 M8145 588d,Call Number
FC55 M9257 660r,Call Number
FC55 M9426 571o 1575,Call Number
FC55 M9426 580v 1586,Call Number
FC55 N5488 573d 1599,Call Number
FC55 N7893L 586c,Call Number
FC55 Og403 590l,Call Number
FC55 P2113 Eg553d,Call Number
FC55 P2114 542d,Call Number
FC55 P2114 581e,Call Number
FC55 P2188U 584q,Call Number
FC55 P2487 567l,Call Number
FC55 P2666 597k,Call Number
FC55 P5802 556d,Call Number
FC55 P7568L 565p,Call Number
FC55 P8458 560d,Call Number
FC55 P9489L 557s,Call Number
FC55 R3247L 571c,Call Number
FC55 R3847 588c,Call Number
FC55 R3998 602c 1603,Call Number
FC55 R3998 Ef599g,Call Number
FC55 R6296 571c,Call Number
FC55 R6698 558a,Call Number
FC55 Sa287 602g,Call Number
FC55 Se597L 556c,Call Number
FC55 Se598d 554o,Call Number
FC55 Se627 553e,Call Number
FC55 T3999 588i,Call Number
FC55 T4687 551a 1574,Call Number
FC55 T6448L 567c,Call Number
FC55 T7197 594o,Call Number
FC55 T7378 580c,Call Number
FC55 V6863 617h,Call Number
FC55 V8574 588g 1590,Call Number
FC55 Z1407 578d,Call Number
FC6 A100 610e,Call Number
FC6 A100 611p,Call Number
FC6 A100 633a,Call Number
FC6 A100 644p,Call Number
FC6 Ar749 643g 1651,Call Number
FC6 Au153 617a 1630,Call Number
FC6 B2199 Eg638t,Call Number
FC6 B2199 Eg654l,Call Number
FC6 B3253 Eg671v,Call Number
FC6 B4667 Eg632g 1634,Call Number
FC6 B6328 658i,Call Number
FC6 B6402 610r 1611,Call Number
FC6 B6540 Eg659m,Call Number
FC6 B7652 Eg686o,Call Number
FC6 B9677 656s 1658,Call Number
FC6 C1597 Eg639a,Call Number
FC6 C3344 645h,Call Number
FC6 C3855L 630c,Call Number
FC6 C3892L 645t,Call Number
FC6 C7658 Eg713w,Call Number
FC6 C8116 643b,Call Number
FC6 D1254 648r,Call Number
FC6 D1283 618c,Call Number
FC6 D1427 666j,Call Number
FC6 D4538 637d,Call Number
FC6 D4538 641m 1644,Call Number
FC6 D4538 650m 1695,Call Number
FC6 D4538 657l 1663,Call Number
FC6 D4538 Ef662Sb,Call Number
FC6 D4538 Eg653r,Call Number
FC6 D4538 Eh647m 1661,Call Number
FC6 D4617 C623,Call Number
FC6 D8536 Eg672pb,Call Number
FC6 D8549 609mb 1864,Call Number
FC6 D8574 618b 1627,Call Number
FC6 D8574 619h,Call Number
FC6 D8847 Ef615t,Call Number
FC6 D9256 613h,Call Number
FC6 D9562 C622 1636,Call Number
FC6 Eu792 658e,Call Number
FC6 F1143 637g,Call Number
FC6 F8448G 625a 1626,Call Number
FC6 F8448L 637o,Call Number
FC6 F8448P 617a,Call Number
FC6 F8448S Ei616m,Call Number
FC6 G1838 649a,Call Number
FC6 G1880 616g 1622,Call Number
FC6 G2156 Eg657m,Call Number
FC6 G2583 Eh868r,Call Number
FC6 G5426 628v,Call Number
FC6 G5426 654i,Call Number
FC6 G5852 657e,Call Number
FC6 G7226 617r 1648,Call Number
FC6 G9938 760s,Call Number
FC6 H2229 C626t,Call Number
FC6 L1146 Eg736h,Call Number
FC6 L1199 655d,Call Number
FC6 L1924 622b,Call Number
FC6 L5562 624p 1667,Call Number
FC6 L6062 630q,Call Number
FC6 L8938L 614c 1748,Call Number
FC6 L9898L 649p,Call Number
FC6 M2846L 636r,Call Number
FC6 M2957 638h,Call Number
FC6 M4437 623r,Call Number
FC6 N2218 625a,Call Number
FC6 N2218 Eh661e,Call Number
FC6 N6454 605c 1610,Call Number
FC6 N7893L 612c 1614,Call Number
FC6 Or503 607o 1620,Call Number
FC6 Ou26 607t 1645,Call Number
FC6 Ou26 639g,Call Number
FC6 P1786 604d,Call Number
FC6 P1786 604d copy 2,Call Number
FC6 P2156 630u 1649,Call Number
FC6 P2607 670p 1686,Call Number
FC6 P2607 Eg657pb,Call Number
FC6 P2607 Eg946r,Call Number
FC6 P4458 630m,Call Number
FC6 P6917 583e,Call Number
FC6 P6917 606p 1607,Call Number
FC6 P6917 624m,Call Number
FC6 R2178 655t,Call Number
FC6 R6362 645t 1660,Call Number
FC6 R7468 638s,Call Number
FC6 R8219 631p,Call Number
FC6 Sa222 639r 1649,Call Number
FC6 Sa222 C643o,Call Number
FC6 Sa287 597p,Call Number
FC6 Sa588 643p,Call Number
FC6 Sa752 654e,Call Number
FC6 Sa867 641d,Call Number
FC6 Sa959L 608e,Call Number
FC6 Sca775 C752o,Call Number
FC6 Scu25 649p,Call Number
FC6 Scu25 654a 1655,Call Number
FC6 Scu255 Eg652i,Call Number
FC6 Se552 641d,Call Number
FC6 Se577 637c,Call Number
FC6 V2357 601g,Call Number
FC6 V6580 C622o 1661,Call Number
FC6 V7444 600r,Call Number
FC65 A100 590g,Call Number
FC65 A100 689v,Call Number
FC65 A100 693h,Call Number
FC65 A100 En697b,Call Number
FC65 Ac126 675r,Call Number
FC65 Ac126 698r,Call Number
FC65 Ar612 682a,Call Number
FC65 Au148 667j,Call Number
FC65 Au149 680m 1688,Call Number
FC65 B2374 688g,Call Number
FC65 B4508 681t,Call Number
FC65 B4577 696r 1699,Call Number
FC65 B4577 Eg671h,Call Number
FC65 B4648 660h,Call Number
FC65 B6417 660v,Call Number
FC65 B6637 671e 1683,Call Number
FC65 B6688 675p 1683,Call Number
FC65 B6699 659m,Call Number
FC65 B7413 658p 1662,Call Number
FC65 B7697 697s 1699,Call Number
FC65 B9164L 665c,Call Number
FC65 C1428 659d 1671,Call Number
FC65 C1814 697h,Call Number
FC65 C3685 667e,Call Number
FC65 C4288 648t 1651,Call Number
FC65 C4288 648t 1659,Call Number
FC65 C4568 642s,Call Number
FC65 C4952 655n 1662,Call Number
FC65 C4952 Eg665d,Call Number
FC65 C6543 C755,Call Number
FC65 C8351 671t 1694,Call Number
FC65 C8351 Eg678a,Call Number
FC65 D4597 688p 1709,Call Number
FC65 D7187 686h 1687,Call Number
FC65 D8755 669r,Call Number
FC65 D9564 687e,Call Number
FC65 Es664 Eg706b,Call Number
FC65 F3159 Eh683f,Call Number
FC65 F3347 671d,Call Number
FC65 F3347 673d 1674,Call Number
FC65 F3536 687e,Call Number
FC65 F3536 747d 1748,Call Number
FC65 F6395 695h,Call Number
FC65 F7374 684j 1703,Call Number
FC65 F7374 Eh688g 1702,Call Number
FC65 F7374 Eh708h 1730,Call Number
FC65 F8427 703t 1709,Call Number
FC65 F8448 688a,Call Number
FC65 F8448L 678r,Call Number
FC65 F8448L 681r,Call Number
FC65 F8448P 651s,Call Number
FC65 F8448S Pam,Call Number
FC65 F8448T 697t,Call Number
FC65 F9755 653v 1669,Call Number
FC65 F9755 658nb,Call Number
FC65 G7458 698v,Call Number
FC65 H3228 Eg680p,Call Number
FC65 L1168 712a 1742,Call Number
FC65 L1313 724p 1755,Call Number
FC65 L5262 662s,Call Number
FC65 L5402 670h 1757,Call Number
FC65 L5486 691e 1692,Call Number
FC65 L9375 657r,Call Number
FC65 L9898C 667l,Call Number
FC65 L9898C 668e,Call Number
FC65 M2804 650c,Call Number
FC65 M2936 704r,Call Number
FC65 M7333 C666 1718,Call Number
FC65 M7333 C666 1826,Call Number
FC65 M8257 679j,Call Number
FC65 N5448 664p,Call Number
FC65 N5448 Eg678o,Call Number
FC65 P2737 665i,Call Number
FC65 P4287 661o,Call Number
FC65 P4287 676r 1684,Call Number
FC65 P7565 C679o,Call Number
FC65 P9268 675e,Call Number
FC65 P9489L 658s,Call Number
FC65 Qu422 680p 1694,Call Number
FC65 Qu422 B687,Call Number
FC65 Qu422 C715t,Call Number
FC65 Qu422 Eg675d,Call Number
FC65 R2647 710d,Call Number
FC65 R2873 752v 1764,Call Number
FC65 Sa248 Eg675c,Call Number
FC65 Sa593 Za698r,Call Number
FC65 Si234 Eg689s,Call Number
FC65 So683 664r,Call Number
FC65 Sp660 678v 1679,Call Number
FC65 Su164 Eg678m,Call Number
FC65 T5735 689t,Call Number
FC65 V3183 696p 1746,Call Number
FC65 V4202 679j,Call Number
FC65 V6123 685r 1724,Call Number
FC65 V6512 660o 1663,Call Number
FC65 V8345 655c 1676,Call Number
FC7 A100 720c,Call Number
FC7 A100 735r 1737,Call Number
FC7 A100 C716,Call Number
FC7 A100 C735n,Call Number
FC7 B6626 739a 1750,Call Number
FC7 R2634 725m 1752,Call Number
FC75 A100 760c,Call Number
FC75 F8448,Call Number
FC75 F8448 box 10 no. 245,Call Number
FC75 F8448 box 13 no. 326,Call Number
FC75 F8448 box 2 no. 26,Call Number
FC75 F8448 box 4 no. 82,Call Number
FC75 F8448 box 4 no. 91,Call Number
FC75 F8448 box 5 no. 114,Call Number
FC75 F8448 box 8 no. 181,Call Number
FC75 F8448 box 8 no. 186,Call Number
FC75 F8448 box 8 no. 192,Call Number
FC75 F8448 box 9 no. 205,Call Number
FC75 F8448 box 9 no. 214,Call Number
FC85 L6168 B870r,Call Number
"Fedele, Cesare",
"Felix V, Antipope, 1383-1451",
"Felix, Saint, Bishop of Tubyza, -303",
"Fell, John, 1625-1686",
Fenay Hall,
"Fenkle, Joseph",Person
"Ferarius, Joannes",Person
"Ferarius, Johannes",Person
"Ferdinand I, Holy Roman Emperor, 1503-1564",Person
"Ferdinand II, Archduke of Austria, 1529-1595",
Ferdinandeum,
"Ferdinando II, Grand-Duke of Tuscany, 1610-1670",
"Ferguson, F. S. (Frederic Sutherland), 1878-1967",Person
"Fernández de Córdoba, Gonzalo, 1453-1515",
"Fernández Navarrete, Pedro, b. ca. 1580",Person
"Fernández-Guerra y Orbe, Aureliano, 1816-1894",Person
"Fernberger, Samuel Weiller, 1887-1956",Person
Ferrara (Italy,
Ferrara (Italy),Place
"Ferreri, Zaccaria, ca. 1479-1524",Person
"Feuerlein, Johann Conrad, 1725-1788",
"Feuerstein, Martin",
"Feurstain, Martinus",
"Ffoulkes, W. Wynne",
ffran. Drake,
Fiammetta Soave (Firm)‏,
"Field, Isobel, 1858-1953",Person
"Fife, William Duff, Earl, 1697-1763",Person
"Figueras, Miguel",Person
"Filelfo, Francesco, 1398-1481",
"Filelfo, Giovanni Mario, 1426-1480",
Fillinham,
Fini Pola family,
"Finney, John",Person
"Finney, Robert",Person
"Finnoli, Jovani",Person
"Fiorentini, Michele Vincenzo",
"Firmiani, Marco",
"Firmin-Didot, Ambroise, 1790-1876",Person
"Fischer, Kilian, active 1491-1499",Person
Fish,Animal
"FitzPatrick of Grantstown Manor, Queen's County",
"FitzPatrick, R.W.",
"FitzPatrick, Richard, Wilson, 1811-1850",
Fitzwilliam family,
"Fitzwilliam, William Charles de Meuron, Earl, 1872-1943",Person
"Flach, Martin, d. 1500",
Flaps,Physical
Fletcher,
"Fletcher, Andrew, 1655-1716",Person
"Fleuret, Fernand, 1884-1942",Person
Fleurs de lis,
Flies,Animal
"Floncel, Albert  François, 1697-1773‏",
"Floquet, Jaquet",
Florence,
Florence (Italy),Place
"Flores, P.",Person
Fly-swatters,
"Folengo, Teofilo, 1496-1544",Person
Foligno (Italy),Place
Folio GC5 D7828 550v.3,
"Folliott, George, 1801-1851",
"Fon Mekk, A. K. (Aleksandr Karlovich)",
Fonseca Magalhaes,
"Fonseca Magalhães, Luiz do Rêgo Barreto da, conde do Almarjão, 1874-1950",
Fools,
"Foote, Charles B., 1837-1900",
"Forbes, Francis R.",Person
"Ford, N.",Person
"Ford, Richard, 1796-1858",
Forgeries,Type
Forli (Italy),
Forlì (Italy),Place
"Forman, H. Buxton, (Harry Buxton), 1842-1917",
Forms,Type
"Fornaccia, Enrico",
"Fornari, Simone, d. ca. 1560",Person
Forschungs- und Landesbibliothek Gotha,
"Fortiguerre, Filippo",
Fortis in arduis,
"Foscarini, Marco, 1695-1763",Person
"Foschini, Gio. Tomasi",Person
Fossano (Italy),
"Fox, Daniel W.",Person
"Fox, Francis F. (Francis Frederick)",Person
"Fox, Justus, 1736-1805",
Foxes,Animal
"Foyle, William A. (William Alfred), 1885-1963",
Foyles,
Fr. Dette's Deutsche Buchhandlung,
"Fraceschini, Francesco, fl. 1564-1574",Person
France,
France (Strasbourg),
"Franceschi, Francesco de",Person
Francesco Lorenzini,
"Francesco, di Dino, active 15th century",
Francipaulitana,
"Francis Xavier, Saint, 1506-1552",Person
"Francis, David G.",
"Francis, of Assisi, Saint, 1182-1226",Person
Franciscains de la Province Saint-Joseph du Canada,
franciscan,
Franciscan bindings,
Franciscan bookplates,
Franciscan inscriptions,
Franciscan labels,
Franciscan Recollects,
Franciscan stamps,
Franciscans,
"Franciscans (Ceneda, Italy)",Hybrid
"Franciscans. Province of the Holy Cross (Saxony, Germany)",
Franciscans. Province Saint-Joseph du Canada,
Francisci Ursii civis Pisani,
"Francisci, Tomaso",Person
Franciscus Bocius di Pisano,
Franciscus de Zuccherinis,
"Franckenau, Gerhardus Ernestus de, 1676-1749",Person
"Franco, Agostino, Bishop of Hermopolis, d. 1877",
François Graverol (1636-1694),
Francsican inscriptions,
Frankfurt (Germany),Place
Frankfurt am Main (Germany),Place
Frankfurt an der Oder (Germany),Place
"Frankland, Frederick William Francis George, Sir, 1868-1937",
"Fransam, George",Person
"Franz Josef II, Prince of Liechtenstein, 1906-1989",Person
"Franz Joseph II, Prince of Liechtenstein, 1906-1989",Person
Franziskanerkloster,
"Franziskanerkloster (Bolzano, Trentino-Alto Adige, Italy)",Hybrid
"Franziskanerkloster (Salzburg, Austria)",Hybrid
"Franziskanerkloster Altstadt bei Hammelburg (Hammelburg, Germany)",Hybrid
Franziskanerkloster Bozen,
Franziskanerkloster St. Andreas,
Franziskanerkloster St. Anna,
"Franziskanerkloster St. Anna (Munich, Germany)",Hybrid
Fratelli Campori,
Fratelli Guizzetti,
Frater Ioannes a Capistrano,
Fratris Joanis Evangelistae Viterbiensis,
Fratrum Zwifaltensium,
Frauenfeld (Switzerland),
"Frazer, John Fries, 1812-1872",
Frederick Dette's Deutsche Buchhandlung,
"Frederick I, Holy Roman Emperor, ca. 1123-1190",
"Frederick‏ ‎II,‏ ‎Elector Palatine,‏ ‎1482-1556‏",Person
"Frederick II, Holy Roman Emperor, 1194-1250",Person
"Frederick III, Elector of Saxony, 1463-1525",Person
"Frederick III, Holy Roman Emperor, 1415-1493",Person
"Fredrik I, King of Sweden, 1676-1751",Person
"Freeling, Charles",Person
"Freeling, Francis, Sir, 1764-1836",
Freemason's cipher,
Freiburg im Breisgau (Germany),Place
"Freig, Johannes Thomas, 1543-1583",
Freiherrn von Rehling Rentenverwaltung Hainhofen,
