Clean,Mitch's Category
652M T735,Call Number
652M Y23,Call Number
A B,Monogram
A C,Monogram
A C H,Monogram
A D,Monogram
A F,Monogram
A G,Monogram
A K,Monogram
A M,Monogram
A M L W,Monogram
A T,Monogram
A. Jubinal,
A. Kipfer,
A. P. G. L,Monogram
Aachen (Germany),
Abbatia Sorethana,
Abbaye de Montmajour,
Abbaye de Pontigny‏,
"Abbaye Notre-Dame-du-Val-des-Écoliers (Verbiesles, Haute-Marne)",
"Abbaye Saint-Martin du Canigou (Casteil, France)",
Abbazia di Santa Maria di Pinerolo,
Abecedarium,Type
Abel (Biblical figure),
"Abington, Susanna P., 1736-1813",Person
Abraham (Biblical patriarch),
Absyrtis,
Abtei Amorbach,Entity
Abtei Liesborn,
Abtei Obermarchtal,
Abtei Pfäfers,
Abtei Reichenau‏,
Abtei Sayn,
Abtei Waldsassen,
AC6 A100 683n 1900,Call Number
AC6 P3808 669n 1694,Call Number
AC6 P3808 669n 1750,Call Number
AC6 P3808 670t,Call Number
AC6 P3808 672q,Call Number
AC6 P3808 673c 1674,Call Number
AC6 P3808 694be,Call Number
AC6 P3808 698d,Call Number
AC6 P3808 771s 1782,Call Number
AC6 P3808 B688l,Call Number
AC6 St324 861m,Call Number
AC6 W7375 790h 1825,Call Number
AC65 L5158 687j,Call Number
AC7 A100 722c,Call Number
AC7 A100 731a,Call Number
AC7 A100 754c,Call Number
AC7 A100 756c,Call Number
AC7 A100 774d,Call Number
AC7 A100 785h,Call Number
AC7 A100 787s,Call Number
AC7 A100 788e,Call Number
AC7 Ad174 784a,Call Number
AC7 Ad185 786t,Call Number
AC7 Ad185 787db,Call Number
AC7 Ap552 741e,Call Number
AC7 B2496 787v,Call Number
AC7 B4144 750t,Call Number
AC7 B4356 774p,Call Number
AC7 B4356 780o,Call Number
AC7 B4356 782p,Call Number
AC7 B4687 765e,Call Number
AC7 B4687 765e copy 2,Call Number
AC7 B5135 792c 1812,Call Number
AC7 B9177 797bc,Call Number
AC7 B9932 745g,Call Number
AC7 B9962 Zz670c,Call Number
AC7 C2364 792r,Call Number
AC7 C2666 852r,Call Number
AC7 C3515 C749c,Call Number
AC7 C3533 776p,Call Number
